================================================================================
FEATURE ANALYSIS (PRE-TRAINING)
================================================================================
Dataset: 3044 samples x 1490 features
Target: response_result
Target distribution: {1: 2831, 0: 213}
================================================================================

TOP 50 FEATURES - CORRELATION WITH TARGET
------------------------------------------------------------
 1. accuracy_rate                                 | 0.296397
 2. was_first_attempt                             | 0.285454
 3. revision_streak                               | 0.238778
 4. total_correct_attempts                        | 0.234862
 5. total_attempts                                | 0.221630
 6. mvec_neural networks_avg_attempts_per_question | 0.203726
 7. mvec_neural networks_total_attempts           | 0.203726
 8. mvec_neural networks_total_correct_attempts   | 0.201425
 9. mvec_neural networks_num_total                | 0.195959
10. mvec_neural networks_total_seen               | 0.195959
11. mvec_neural networks_num_tf                   | 0.195959
12. mvec_neural networks_num_mcq                  | 0.195959
13. mvec_neural networks_percentage_seen          | 0.195959
14. mvec_chemistry and structural biology_num_sata | 0.195073
15. mvec_neural networks_overall_accuracy         | 0.194265
16. mvec_neural networks_avg_reaction_time        | 0.191888
17. mvec_composition of life_num_sata             | 0.191371
18. rs_0                                          | 0.190588
19. mvec_classification_total_incorrect_attempts  | 0.187255
20. days_since_first_introduced                   | 0.180214
21. mvec_decision trees_total_attempts            | 0.176841
22. mvec_decision trees_avg_attempts_per_question | 0.176841
23. qv_105                                        | 0.172417
24. user_stats_today_sata_incorrect_attempts      | 0.170911
25. days_since_last_revision                      | 0.170734
26. mvec_concept learning_days_since_last_seen    | 0.169869
27. mvec_decision trees_total_incorrect_attempts  | 0.166517
28. mvec_ridge regression_total_incorrect_attempts | 0.163882
29. qv_391                                        | 0.163314
30. mvec_k-nearest neighbors_days_since_last_seen | 0.159737
31. mvec_linux command line_days_since_last_seen  | 0.159674
32. mvec_decision trees_avg_reaction_time         | 0.159092
33. mvec_linux command line_avg_reaction_time     | 0.158448
34. mvec_linux command line_num_fitb              | 0.158448
35. mvec_linux command line_overall_accuracy      | 0.158448
36. mvec_linux command line_total_seen            | 0.158448
37. mvec_linux command line_total_correct_attempts | 0.158448
38. mvec_linux command line_num_total             | 0.158448
39. mvec_linux command line_avg_attempts_per_question | 0.158448
40. mvec_linux command line_total_attempts        | 0.158448
41. mvec_linux command line_percentage_seen       | 0.158448
42. user_stats_total_sata_incorrrect_attempts     | 0.158241
43. user_stats_today_sata_total_attempts          | 0.157812
44. user_stats_today_mcq_incorrect_attempts       | 0.157462
45. user_stats_total_non_circ_questions           | 0.156950
